id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35663,motor_valley,"Museo Checco Costa - Autodromo di Imola",,"Piazza Ayrton Senna da Silva",3,Imola,,Bologna,Bologna-Modena,,44.34435,11.71719,https://www.autodromoimola.it/?lang=en,"2022-11-24 18:32:36","2023-02-23 18:10:28"
35664,motor_valley,"Museo della moto di Scortichino - Glorie Italiane - Scortino (FE)",,"Via Cimarosa",,Bondeno,,Ferrara,Romagna,44012,44.87955,11.32562,"+39 338 3322384",https://motorvalley.it/museo-della-moto-di-scortichino-glorie-italiane/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35665,motor_valley,"Collezione Battilani",,"via Poiano",1/b,Imola,,Bologna,Bologna-Modena,,44.35872,11.72366,"+ 39 0542 640961",benito.battilani@alice.it,https://motorvalley.it/collezione-battilani/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:36","2023-02-23 18:09:20"
35666,motor_valley,"Collezione Bruno Nigelli",,"via Giuseppe Venturi",3,"Monte San Pietro",,Bologna,Bologna-Modena,,44.49122,11.15536,"+ 39 051 6766792",nifo@nifo.it,https://motorvalley.it/collezione-bruno-nigelli/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:36","2023-02-06 17:59:03"
35667,motor_valley,"Collezione Pasquale Mesto",,"Via Minarini",1/f,"San Lazzaro di Savena",,Bologna,Bologna-Modena,40068,44.4735737,11.402939,"+ 39 051 9910058",mesto.asms@libero.it,https://motorvalley.it/collezione-pasquale-mesto/,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35668,motor_valley,"Collezione Moto Poggi",,"Via G. Vittorio",2,Castenaso,,Bologna,Bologna-Modena,40055,44.5050272,11.4349612,"+ 39 338 6924706",rinotantini@tin.it,https://motorvalley.it/collezione-moto-poggi/,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35669,motor_valley,"Collezione Pollini",,"Via Guido Rossa",7,"Casalecchio di Reno",,Bologna,Bologna-Modena,40033,44.48836,11.26479,"+39 051 520311",collezionepollini@gmail.com,https://motorvalley.it/collezione-pollini/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:36","2022-11-24 18:32:36"
35670,motor_valley,"Museo delle Moto e dei Ciclomotori DEMM",,"Via Mazzini",230/A,"Alto Reno Terme",,Bologna,Bologna-Modena,,44.16136,10.9726,"+ 39 0534 521103",iat@comune.altorenoterme.bo.it,https://www.discoveraltorenoterme.it/visita-il-museo-demm/,"2022-11-24 18:32:36","2024-03-18 16:06:49"
35671,motor_valley,"Collezione Righini",,"Via Nino Bixio",12,"Castelfranco Emilia",,Modena,Bologna-Modena,,44.620827,11.0412112,"+ 39 051 733169",https://www.righiniauto.it/en/,"2022-11-24 18:32:36","2023-02-09 18:14:22"
35672,motor_valley,"Museo dell'auto e moto d'epoca Umberto Panini",,"Via Corletto Sud",320,Modena,,Modena,Bologna-Modena,,44.6207065,10.8321609,"+ 39 059 5962181",info@paninimotormuseum.it,https://www.paninimotormuseum.it/,"2022-11-24 18:32:36","2023-02-09 18:15:03"
35673,motor_valley,"Collezione Nello Salsapariglia",,"Via Lazzaretti",3,"Bagnolo in Piano",,"Reggio nell'Emilia",Emilia,,44.77732,10.67482,"+ 39 335 8430203",info@collezionesalsapariglia.it,https://www.collezionesalsapariglia.it/en/index.php,"2022-11-24 18:32:36","2023-02-10 12:46:13"
35674,motor_valley,"Museo dell?Automobile di San Martino in Rio",,"Via Barbieri",12,"San Martino in Rio",,"Reggio nell'Emilia",Emilia,,44.73636,10.783,"+ 39 0522 636133",info@museodellauto.it,https://scuderiasanmartino.com,"2022-11-24 18:32:37","2023-02-10 12:45:57"
35675,motor_valley,"Museo Old Racing Spare Parts",,"Via Statale",11/J,Casalgrande,,"Reggio nell'Emilia",Emilia,,44.58846,10.72866,"+ 39 338 3228402",info@oldracingspareparts.com,https://www.oldracingspareparts.com/,"2022-11-24 18:32:37","2023-02-10 12:45:35"
35676,motor_valley,"Piccolo Museo della Moto Bariaschi",,"Via San Giuseppe",16/a,Guastalla,,"Reggio nell'Emilia",Emilia,,44.90994,10.65279,"+ 39 338 8969989",museobariaschi@yahoo.it,http://www.piccolomuseodellamoto.it/menu.html,"2022-11-24 18:32:37","2023-02-10 12:45:09"
35677,motor_valley,"Collezione Auto Bandini",,"Via del Braldo",80,Forlì,,Forlì-Cesena,Romagna,,44.20355,11.9715,"+ 39 339 8783323",dr.bandini@libero.it,https://motorvalley.it/collezione-automobile-bandini/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2024-02-29 17:15:58"
35678,motor_valley,"Collezione Guzzi Brunelli",,"Viale Roma",32,Forlimpopoli,,Forlì-Cesena,Romagna,,44.1935,12.12827,"+ 39 335 1310902",eliobrunelli@parcodellerose.it,https://www.collezioneguzzibrunelli.it/,"2022-11-24 18:32:37","2024-02-29 17:15:25"
35679,motor_valley,"Collezione Vespa Mauro Pascoli - chiuso post alluvione",,"Via Faentina",175/a,Ravenna,,Ravenna,Romagna,,44.4226749,12.1522758,"+39 0544 502078",info@collezionevespa.it,https://www.collezionevespa.it/,"2022-11-24 18:32:37","2024-03-25 15:03:59"
35680,motor_valley,"Museo Nazionale del Motociclo di Rimini",,"Via Casalecchio",58/n,Rimini,,Rimini,Romagna,47924,44.00269,12.61121,"+ 39 347 1844267",info@museomotociclo.it,https://www.museomotociclo.it/,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35681,motor_valley,"Collezione privata Andrea Ascari Moto Maserati",,"Via dei Tipografi",12,Modena,,Modena,Bologna-Modena,,44.6351845,10.9785542,"+ 39 348 5150777",infosavasrls@gmail.com,https://www.motorvalley.it/en/partner/collezione-ascari-moto-maserati/,"2022-11-24 18:32:37","2023-02-09 18:06:50"
35682,motor_valley,"Collezione Parilla",,"Via Provinciale Faentina",21,Modigliana,,Forlì-Cesena,Romagna,,44.18203,11.81987,"+ 39 348 2341452",https://motorvalley.it/collezione-parilla/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2024-02-29 17:15:12"
35683,motor_valley,"Autodromo Internazionale Enzo e Dino Ferrari",,"Piazza Ayrton Senna da Silva",1,Imola,,Bologna,Bologna-Modena,,44.34435,11.71719,"+ 39 051 655111",info@autodromoimola.it,https://www.autodromoimola.it/?lang=en,"2022-11-24 18:32:37","2023-02-15 12:19:16"
35684,motor_valley,"Autodromo di Modena",,"Strada Pomposiana",255/a,Modena,,Modena,Bologna-Modena,,44.6347079,10.8141158,"+ 39 059 388711",info@autodromodimodena.it,https://www.visitmodena.it/en/discover-modena/motor-valley/autodromo-di-modena,"2022-11-24 18:32:37","2023-02-09 18:11:11"
35685,motor_valley,"Autodromo Riccardo Paletti",,"Via Strada per Fosio",1,"Varano de' Melegari",,Parma,Emilia,,44.68003,10.01923,"+39 0525 551211",autodromo@varano.it,https://www.autodromovarano.it/,"2022-11-24 18:32:37","2023-02-10 18:19:13"
35686,motor_valley,"Misano World Circuit Marco Simoncelli",,"Via Daijiro Kato",10,"Misano Adriatico",,Rimini,Romagna,47843,43.96182,12.68451,"+39 0541 618511",info@misanocircuit.com,https://www.misanocircuit.com/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35687,motor_valley,"Crossdromo Monte Michelone",,"Via Motoclub Parma",32,"Lesignano de' Bagni",,Parma,Emilia,,44.62468,10.28476,"+39 347 459 3371",info@motoclubparma.it,https://www.facebook.com/Crossdromo-Lesignano-d%C3%A8-Bagni-Motoclub-Parma-411830542258407/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2023-02-10 18:20:50"
35688,motor_valley,"Motocross Track Pista Predella - San Vittore di Salsomaggiore (PR)",,"S. Vittore Iachino, 37",,"Salsomaggiore Terme",,Parma,Emilia,,44.77794,9.976489,"+39 0524 579310",segreteria@motoclub-salsomaggiore.it,https://visitsalsomaggiore.it/it/impianti-sportivi/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35689,motor_valley,"Pista Mini Moto e Karting - San Mauro Mare (FC)",,"Via Cagnona",12,"San Mauro Pascoli",,Forlì-Cesena,Romagna,47030,44.15882,12.43841,"+39 348 4037770",info@minimotoitalia.com,https://www.minimotoitalia.com/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35690,motor_valley,"Circuito di Pomposa (FE)",,"Via Orto Alfierino",20,Comacchio,,Ferrara,Romagna,44022,44.71113,12.21403,"+ 39 392 9999399",info@circuitodipomposa.com,https://www.circuitodipomposa.com/,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35691,motor_valley,"Xbikes pista minimoto go-kart - Cassana (FE)",,"Via Cesare Diana",39,Ferrara,,Ferrara,Romagna,44100,44.85783,11.55491,"+ 39 339 8991339",pistaxbikes@gmail.com,http://www.xbikes.it/#utm_source=emiliaromagnaturismo&utm_medium=ITA,"2022-11-24 18:32:37","2022-11-24 18:32:37"
35907,motor_valley,"Museo dell' auto storica Stanguellini",,"Via Emilia Est",756,Modena,,Modena,Bologna-Modena,,44.63613,10.95058,"+ 39 059 220022",info@modenatur.it,https://www.visitmodena.it/en/discover-modena/motor-valley/explore-motorvalley/motors-stanguellini-museum,"2022-11-24 18:32:49","2022-11-24 18:32:49"
35908,motor_valley,"Maserati - fabbrica e showroom",,"Via Divisione Acqui",17,Modena,,Modena,Bologna-Modena,,44.64898,10.94035,"+ 39 059 220022",maseratifactorytour@modenatur.it?,https://www.visitmodena.it/en/discover-modena/motor-valley/explore-motorvalley/maserati-factory-and-showroom,"2022-11-24 18:32:49","2022-11-24 18:32:49"
35963,motor_valley,"Galliano Park - ?Circuito di moto",,"Viale Roma","402 a",Forlì,,Forlì-Cesena,Romagna,,44.1971476,12.0996371,"+ 39 339 6217820",gallianoparkasd@gmail.com,http://www.gallianopark.com/,"2022-11-24 18:32:52","2024-02-29 17:14:55"
38044,motor_valley,"Ruote da Sogno",,"via daniele da torricella",29,"Reggio nell'Emilia",,"Reggio nell'Emilia",Emilia,,44.6718605,10.6414492,"+ 39 0522 268 511",info@ruotedasogno.com,https://www.ruotedasogno.com/en_gb/,"2023-01-27 12:01:03","2023-01-27 12:01:03"
