id,code,name,info,description,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35638,golf,"Golf Club Bologna",,Ristorante,"Via Alfonso Sabattini",69,"Monte San Pietro",,Bologna,Bologna-Modena,,44.50195,11.16359,"+39 051 969100",info@golfclubbologna.it,https://golfclubbologna.it/,"2022-11-24 18:32:35","2023-02-06 17:54:22"
35639,golf,"Casalunga Golf & Resort",,"Piscina, Albergo, Ristorante","Via Cà Belfiore",8,Castenaso,,Bologna,Bologna-Modena,40055,44.49356,11.46042,"+39 051 6050164",segreteria@casalungagolf.it,http://www.casalungagolf.it/,"2022-11-24 18:32:35","2022-11-24 18:32:35"
35640,golf,"Golf Club Monteveglio",,,"Via Barlete",52,Valsamoggia,,Bologna,Bologna-Modena,,44.2643,11.0523,"+39 051 6705387",info@golfclubmonteveglio.it,http://www.golfclubmonteveglio.it/wordpress/,"2022-11-24 18:32:35","2023-02-06 17:53:20"
35641,golf,"Golf Club Le Fonti",,"<p style=""margin-left:0px;"">Il Golf Club le Fonti nasce nel 1999 e il percorso di 18 buche si sviluppa su un?area ubicata nella valle del fiume Sillaro, nel punto dove questa si affaccia sulla pianura Padana.</p><p style=""margin-left:0px;"">Il Club dispone dei seguenti servizi:</p><ul><li>Percorso di 18 buche in bermuda grass</li><li>Driving Range con postazioni coperte e illuminate</li><li>Pitching green e chipping green</li><li>Golf Academy Le Fonti by Giovanni Dassu?</li><li>Putting green</li><li>Piscina scoperta</li><li>Palestra</li><li>Rimessaggio sacche e carrelli</li><li>Nolo sacche con le migliori attrezzature, carrelli manuali ed elettrici, golf cart</li><li>Sala Biliardo e Sala Carte</li><li>Pro shop</li><li>Sala Meeting</li><li>Ristorante Golf Club Le Fonti</li></ul>","Viale Terme",1800,"Castel San Pietro Terme",,Bologna,Bologna-Modena,,44.3805,11.58362,"+39 051 695 1958",info@golfclublefonti.it,https://www.golfclublefonti.it/en/,"2022-11-24 18:32:35","2023-02-15 12:18:39"
35642,golf,"Golf Club Molino del Pero",,,"Via Molino Del Pero",323,Monzuno,,Bologna,Bologna-Modena,,44.27045,11.2898,"+39 051 6770506",info@golfmolinodelpero.it,https://www.molinodelpero.it/,"2022-11-24 18:32:35","2023-02-06 17:51:19"
35643,golf,"Argenta Golf Club",,Ristorante,"via Poderi",2/a,Argenta,,Ferrara,Romagna,44011,44.63179,11.80702,+39,segreteria@argentagolf.it,https://www.argentagolf.it/,"2022-11-24 18:32:35","2025-12-17 11:55:14"
35644,golf,"Golf Club A. Fava Cento - eliminato post segnalazione 26/3/24 ERGolf",,,"via dei Tigli",4,Cento,,Ferrara,Romagna,44042,44.71514,11.28056,+39,info@golfcento.com,http://www.golfcento.com,"2022-11-24 18:32:35","2022-11-24 18:32:35"
35645,golf,"Cus Ferrara Golf",,"<p>Il C.U.S. Ferrara Golf ha una caratteristica davvero singolare nel panorama golfistico italiano: situato nell'incantevole zona del Parco Urbano prospiciente le Mura estensi a nord della città, dista meno di 500 metri dal centro storico di Ferrara. Adiacente agli altri impianti sportivi universitari, dove è possibile praticare gli sport più diversi sotto la guida di esperti istruttori, il C.U.S. Ferrara Golf pratica, grazie a tariffe accessibili a tutti, una accorta politica di apertura non solo nei confronti del mondo universitario.</p><p style=""margin-left:0px;text-align:justify;"">Dati tecnici: 18 buche, par 68, metri 5446.</p><p style=""margin-left:0px;text-align:justify;"">Strutture e servizi: campo pratica, driving range, putting green, noleggio carrelli, golf cart, maestri a disposizione, 4 campi tennis sintetico, palestra, bar, ristorante, parcheggio e spogliatoi.</p>","Via Gramicia",41,Ferrara,,Ferrara,Romagna,,44.85332,11.6293,"+ 39 0532 708535",golf@cusferrara.it,http://www.cusferraragolf.it/,"2022-11-24 18:32:35","2025-12-22 17:29:32"
35646,golf,"Golf Club Ca? Laura - eliminato post segnalazione 26/3/24 ERGolf",,<p>Agriturismo</p>,"Via Cristina",70,Mesola,,Ferrara,Romagna,,44.86996,12.23998,"+39 0533 794372",info@calaura.it,https://www.calaura.it/campogolf.html,"2022-11-24 18:32:35","2023-02-10 12:54:44"
35647,golf,"Adriatic Golf Club Cervia",,,"Viale J. Gora",6,Cervia,,Ravenna,Romagna,,44.27968,12.33618,"+ 39 0544 992786",info@golfcervia.com,http://www.golfcervia.com/it/,"2022-11-24 18:32:35","2023-01-27 12:39:37"
35648,golf,"Riolo Golf Club La Torre",,,"Via Limisano, 10",,"Riolo Terme",,Ravenna,Romagna,48025,44.26432,11.72896,,info@golfclubriolo.it,http://www.golfclubriolo.it/,"2022-11-24 18:32:35","2022-11-24 18:32:35"
35649,golf,"Le Cicogne Golf Club Faenza",,,"Via S. Orsola",10/e,Faenza,,Ravenna,Romagna,,44.29037,11.85389,"379 1407933",info@faenzagolf.com,https://www.faenzagolf.com,"2022-11-24 18:32:35","2025-12-29 08:13:19"
35650,golf,"Oasi di Magliano I Fiordalisi Golf Club ASD",,"<p>L'Oasi di Magliano Fiordalisi Golf Club è un campo da golf a nove buche situato all'interno di una riserva naturale e Sito di Importanza Comunitaria noto per la sua spettacolare biodiversità.</p><p>Gli amanti del golf qui trovano un ambiente unico che unisce la bellezza paesaggistica e il gioco del golf.</p>","Via Maglianella",11/b,Forlì,,Forlì-Cesena,Romagna,,44.17079,12.08593,"+ 39 3801920097",oasidimagliano@gmail.com,https://www.forligolf.com/,"2022-11-24 18:32:35","2024-02-29 17:14:18"
35651,golf,"Rimini-Verucchio Golf Club",,,"Via Molino Bianco",109,Verucchio,,Rimini,Romagna,,44.01776,12.42365,"+ 39 0541 678122",info@riminiverucchiogolf.com,https://www.riminiverucchiogolf.com/,"2022-11-24 18:32:35","2023-02-23 18:07:30"
35652,golf,"Riviera Golf Resort",,"Ristorante, SPA, Wedding, Congressi","Via Conca Nuova",1236,"San Giovanni in Marignano",,Rimini,Romagna,,43.9496,12.6895,"+ 39 0541 956499",info@rivieragolfresort.com,https://www.rivieragolfresort.com/,"2022-11-24 18:32:35","2025-12-12 09:28:46"
37874,golf,"Golf del  Ducato - Parma Golf",,"<p>9 buche pitch &amp; putt. Le buche sono costruite secondo gli standard della Federazione Italiana di Pitch&amp;Putt e quindi idonee ad ospitare qualsiasi manifestazione legata a questa disciplina. Luogo ideale dove poter affinare quella parte del gioco che ogni golfista sa essere la più importante per i propri successi, è possibile giocare qualsiasi tipo di colpo dalla distanza di 100 metri dalla buca. I green piccoli, e ben difesi dai bunker e dagli ostacoli d?acqua, sono pensati con pendenze e scalini in grado di sfidare anche il più abile puttatore.&nbsp;<br>Un percorso delicato in grado di far divertire il giocatore neofita ma di gratificare anche i giocatori più esperti.</p>","Strada Martinella",328/A,Parma,,Parma,Emilia,,44.7199,10.33128,"+39 0521630032",parmagolf@parmagolf.it,http://www.golfdelducato.it,"2023-01-18 17:12:43","2023-01-18 17:12:43"
37875,golf,"Golf club Cus Parma Santa Elisabetta",,"<p>E' dotato di un campo con 6 buche, un campo pratica, putting green, pitching green.</p>","Viale Usberti Gian Paolo",95,Parma,,Parma,Emilia,,44.766809,10.321508,golf@cusparma.it,http://www.cusparma.it,"2023-01-18 17:21:58","2023-01-18 17:21:58"
