id;code;name;info;location_address;location_number;location_city;location_localita;location_province;location_destination;location_cap;location_lat;location_lng;contacts_website;contacts_phone;contacts_email;created_at;updated_at
5709;terme;"Terme di Porretta";;"Via Roma, 5";;"Alto Reno Terme";"Porretta Terme ";Bologna;"Bologna e Modena";40046;44.15085;10.97955;www.termediporretta.it;"0534 22062";info@termediporretta.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5710;terme;"Terme di Castel San Pietro";;"Viale Terme, 1113";;"Castel San Pietro ";;Bologna;"Bologna e Modena";40024;44.3863;11.58714;www.termedicastelsanpietro.it;"051 941247";info@termedicastelsanpietro.it;"2020-12-29 15:30:23";"2020-12-29 15:30:23"
5711;terme;"Thermae Oasis";;"Strada Panoramica Acciaioli";;"Comacchio ";"Lido della Nazioni";Ferrara;Romagna;44020;44.73104;12.2267;www.thermaeoasis.it;"0533 399706";info@thermaeoasis.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5712;terme;"Terme di Riolo";;"Via Firenze, 15";;"Riolo Terme ";;Ravenna;Romagna;48025;44.27093;11.72131;www.termediriolo.it;"0546 71045";info@termediriolo.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5713;terme;"Terme di Punta Marina";;"Viale Colombo, 161";;Ravenna;"Punta Marina Terme";Ravenna;Romagna;48122;44.45662;12.29001;www.termepuntamarina.com;"0543 437222";info@termepuntamarina.com;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5714;terme;"Terme di Cervia";;"Via Forlanini, 16";;"Cervia ";;Ravenna;Romagna;48015;44.27252;12.32582;www.terme.org;"0544 990111";infocervia@terme.org;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5715;terme;"Terme di Brisighella - IN RISTRUTTURAZIONE";;"Viale delle Terme, 12";;"Brisighella ";;Ravenna;Romagna;48013;44.22115;11.7802;www.termebrisighella.it;"0546 81068";infobrisighella@terme.org;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5716;terme;"Terme di Castrocaro – Grand Hotel & Spa";;"Viale Marconi, 14/16";;"Castrocaro Terme ";;Forlì-Cesena;Romagna;47011;44.17209;11.94833;www.termedicastrocaro.it;"0543 412711";"accettazione@termedicastrocaro.it / grandhotel@termedicastrocaro.it";"2020-12-29 15:30:23";"2020-12-29 15:30:23"
5717;terme;"Grand Hotel Terme della Fratta";;"Via Loreta, 238";;"Bertinoro ";"Fratta Terme";Forlì-Cesena;Romagna;47032;44.14199;12.09791;www.termedellafratta.it;"0543 460911";info@termedellafratta.it;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5718;terme;"Ròseo Euroterme Wellness Resort";;"Via Lungosavio, 2";;"Bagno di Romagna ";;Forlì-Cesena;Romagna;47021;43.83175;11.95697;www.euroterme.com;"0543 911414";info@euroterme.com;"2020-12-29 15:30:23";"2020-12-31 07:55:16"
5719;terme;"Hotel delle Terme Santa Agnese";;"Via Fiorentina, 17";;"Bagno di Romagna ";;Forlì-Cesena;Romagna;47021;43.8332;11.95816;www.termesantagnese.it;"0543 911018";terme@termesantagnese.it;"2020-12-29 15:30:24";"2020-12-31 07:55:16"
5720;terme;"Grand Hotel Terme Roseo";;"Piazza Ricasoli,  15 ";;"Bagno di Romagna";;Forlì-Cesena;Romagna;;43.8339;11.95852;www.termeroseo.it;"0543 911016";info@termeroseo.it;"2020-12-29 15:30:24";"2021-02-04 10:50:47"
5721;terme;Riminiterme;;"Viale Principe di Piemonte, 56";;Rimini;Miramare;Rimini;Romagna;47924;44.02727;12.6259;www.riminiterme.com;"0541 424011";info@riminiterme.com;"2020-12-29 15:30:24";"2020-12-31 07:55:16"
5722;terme;"Riccione Terme";;"Viale Torino, 4/16";;"Riccione ";;Rimini;Romagna;47838;43.99552;12.6691;www.riccioneterme.it;"0541 602201";info@riccioneterme.it;"2020-12-29 15:30:24";"2020-12-31 07:55:16"
